IP,Time,Staus,Method
10.129.2.1,29/Nov/2017:18:18:05,200,POST
10.131.0.1,29/Nov/2017:18:20:45,200,POST
10.131.0.1,29/Nov/2017:18:22:34,200,GET
10.131.0.1,29/Nov/2017:18:22:37,200,GET
10.131.0.1,29/Nov/2017:18:22:39,200,GET
10.131.0.1,29/Nov/2017:18:22:44,200,GET
10.131.0.1,29/Nov/2017:18:22:48,200,GET
10.131.0.1,29/Nov/2017:18:22:53,200,GET
10.131.0.1,29/Nov/2017:18:23:01,200,GET
10.131.0.1,29/Nov/2017:18:23:09,302,GET
10.131.0.1,29/Nov/2017:18:23:09,200,GET
10.131.0.1,29/Nov/2017:18:23:17,302,POST
10.131.0.1,29/Nov/2017:18:23:18,200,GET
10.131.0.1,29/Nov/2017:18:23:21,200,GET
10.131.0.1,29/Nov/2017:18:23:24,200,GET
10.128.2.1,29/Nov/2017:18:24:57,200,GET
10.128.2.1,29/Nov/2017:18:25:02,200,GET
10.128.2.1,29/Nov/2017:18:25:07,200,GET
10.128.2.1,29/Nov/2017:18:25:15,200,GET
